"","date","n_correos"
"266",2009-10-11,0
"267",2009-10-12,0
"268",2009-10-13,0
"269",2009-10-14,0
"270",2009-10-15,1
"271",2009-10-16,0
"272",2009-10-17,0
"273",2009-10-18,1
"274",2009-10-19,0
"275",2009-10-20,2
"276",2009-10-21,7
"277",2009-10-22,1
"278",2009-10-23,2
"279",2009-10-24,0
"280",2009-10-25,1
"281",2009-10-26,2
"282",2009-10-27,0
"283",2009-10-28,0
"284",2009-10-29,1
"285",2009-10-30,0
"286",2009-10-31,0
"287",2009-11-01,0
"288",2009-11-02,0
"289",2009-11-03,1
"290",2009-11-04,1
"291",2009-11-05,0
"292",2009-11-06,0
"293",2009-11-07,0
"294",2009-11-08,1
"295",2009-11-09,1
"296",2009-11-10,1
"297",2009-11-11,0
"298",2009-11-12,1
"299",2009-11-13,0
"300",2009-11-14,1
"301",2009-11-15,0
"302",2009-11-16,0
"303",2009-11-17,6
"304",2009-11-18,7
"305",2009-11-19,4
"306",2009-11-20,24
"307",2009-11-21,4
"308",2009-11-22,9
"309",2009-11-23,0
"310",2009-11-24,5
"311",2009-11-25,2
"312",2009-11-26,3
"313",2009-11-27,1
"314",2009-11-28,1
"315",2009-11-29,5
"316",2009-11-30,1
"317",2009-12-01,4
"318",2009-12-02,8
"319",2009-12-03,5
"320",2009-12-04,6
"321",2009-12-05,4
"322",2009-12-06,1
"323",2009-12-07,4
"324",2009-12-08,1
"325",2009-12-09,1
"326",2009-12-10,12
"327",2009-12-11,8
"328",2009-12-12,0
"329",2009-12-13,0
"330",2009-12-14,5
"331",2009-12-15,5
"332",2009-12-16,7
"333",2009-12-17,3
"334",2009-12-18,3
"335",2009-12-19,3
"336",2009-12-20,2
"337",2009-12-21,2
"338",2009-12-22,6
"339",2009-12-23,0
"340",2009-12-24,7
"341",2009-12-25,1
"342",2009-12-26,0
"343",2009-12-27,0
"344",2009-12-28,1
"345",2009-12-29,0
"346",2009-12-30,0
"347",2009-12-31,1
"348",2010-01-01,2
"349",2010-01-02,0
"350",2010-01-03,0
"351",2010-01-04,1
"352",2010-01-05,0
"353",2010-01-06,1
"354",2010-01-07,3
"355",2010-01-08,1
"356",2010-01-09,0
"357",2010-01-10,0
"358",2010-01-11,1
"359",2010-01-12,4
"360",2010-01-13,0
"361",2010-01-14,0
"362",2010-01-15,0
"363",2010-01-16,0
"364",2010-01-17,0
"365",2010-01-18,1
"366",2010-01-19,10
"367",2010-01-20,4
"368",2010-01-21,11
"369",2010-01-22,6
"370",2010-01-23,0
"371",2010-01-24,1
"372",2010-01-25,19
"373",2010-01-26,13
"374",2010-01-27,11
"375",2010-01-28,13
"376",2010-01-29,3
"377",2010-01-30,8
"378",2010-01-31,5
"379",2010-02-01,16
"380",2010-02-02,33
"381",2010-02-03,22
"382",2010-02-04,27
"383",2010-02-05,17
"384",2010-02-06,16
"385",2010-02-07,0
"386",2010-02-08,3
"387",2010-02-09,12
"388",2010-02-10,13
"389",2010-02-11,15
"390",2010-02-12,7
"391",2010-02-13,1
"392",2010-02-14,0
"393",2010-02-15,13
"394",2010-02-16,19
"395",2010-02-17,27
